,Name,Location,Difficulty,Number of reviews,Distance in miles,Elevation Gain in feet,Route Type,Rating,backpacking,bird watching,camping,cross country skiing,fishing,hiking,horseback riding,mountain biking,nature trips,off road driving,paddle sports,road biking,rock climbing,scenic driving,skiing,snowshoeing,surfing,trail running,walking,beach,cave,city walk,forest,historic site,hot springs,lake,rocky,rails trails,river,views,waterfall,wild flowers,wildlife,dog friendly,kid friendly,partially paved,stroller friendly,wheelchair friendly,no shade,snow,no dogs,dogs on leash,bugs,over grown,scramble,washed out,blowdown,muddy,bridge out,paved,off trail,closed
864,Table Rock Trail,Robert Louis Stevenson State Park,3,106,6.4,"2,240",1,4.7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
865,Cozy Dell Via Foothill Trail,Los Padres National Forest,2,136,3.6,"1,187",2,4.1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
866,Trans-Catalina Trail,"Avalon, California",3,47,40.2,"8,202",3,4.7,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
867,Palisade Glacier Trail,John Muir Wilderness,3,36,14.3,"4,593",1,4.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
868,"Fern Creek, Lost, and Ocean View Loop",Muir Woods National Monument,1,64,3.1,616,2,4.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
869,Loma Prieta and Bridge Loop Trail,The Forest of Nisene Marks State Park,2,66,11.2,"1,227",2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
870,San Vicente Mountain: Old Nike Missile Site Trail,San Vicente Mountain Park,2,74,10.0,"1,414",1,4.3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
871,Hellhole Canyon Open Space Preserve Trails,Hellhole Canyon County Open Space Preserve,2,103,6.2,"1,033",2,4.1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
872,Montecito Peak Trail,Los Padres National Forest,2,57,6.0,"2,444",2,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,Manuel Peak Trail,Pfeiffer Big Sur State Park,3,67,9.7,"3,395",1,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
874,Coastal - SCA - Bobcat Trails,Golden Gate National Recreation Area,2,51,8.6,"1,528",2,4.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
875,Pioneertown to Big Bear via Burns Canyon Road and 2N02,San Bernardino National Forest,2,93,18.7,"3,313",3,4.7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
876,Darwin Falls Trail via Old Toll Road,Death Valley National Park,1,75,1.9,226,1,4.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
877,Rubio Canyon Trail,Angeles National Forest,2,105,1.8,800,1,3.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
878,China Gulch Trail to Grizzly Lake,Trinity Alps Wilderness,3,39,18.0,"5,295",1,4.6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
879,George F. Canyon Nature Trail,George F Canyon Open Space,1,113,1.8,331,1,4.3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
880,Jamison Lake,Plumas-Eureka State Park,2,60,5.9,"1,069",1,4.7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
881,Upper Rustic Garapito Loop Trail,Topanga State Park,2,49,7.2,"1,348",2,4.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
882,Emerald Lake Trail,Inyo National Forest,1,66,3.1,708,1,4.7,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
883,Alpine Pedal Path Trail,"Big Bear Lake, California",1,77,5.4,285,1,4.5,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
884,Mount Baldy via Register Ridge,Angeles National Forest,3,46,7.3,"3,937",2,4.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,Desolation Canyon Trail,Death Valley National Park,2,67,3.6,770,1,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
886,Zumwalt Meadow Loop Trail,Kings Canyon National Park,1,69,1.5,134,2,4.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
887,Mt. Baden-Powell from Dawson Saddle,Angeles National Forest,2,57,9.9,"2,696",1,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,"Shoemaker Canyon Road, East Fork San Gabriel River",Angeles National Forest,2,74,5.0,"1,404",1,4.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,Tony Look Trail to Stevens Creek Resevoir,Stevens Creek County Park,1,95,2.5,196,1,3.8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
890,Kaiser Peak,Sierra National Forest,3,84,9.9,"3,228",1,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
891,Switzer Falls and Bear Canyon Camp via Gabrelino Trail,San Gabriel Wilderness,2,74,8.5,"1,548",1,4.6,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
892,Wildcat Canyon Loop,Rancho San Antonio County Park,2,63,7.2,872,2,4.4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
893,"Whispering Creek Trail, Chabot-Garin Trail, Shady Canyon Trail, Ridgetop Trail Loop",Don Castro Regional Recreation Area,2,26,4.9,807,2,3.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
894,Shell Ridge - Borgess Ranch Loop,Shell Ridge Open Space,2,105,4.7,685,2,4.3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,"Big Break Regional Shoreline Visitor Center, Delta Discovery Experience, Big Break Regional Trail Loop",Big Break Regional Shoreline,1,16,1.1,13,2,3.9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
896,Lake of the Woods via Pacific Crest Trail,Desolation Wilderness,2,29,11.3,"1,788",1,4.8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
897,Alhambra Creek Trail,Briones Regional Park,2,113,2.4,574,2,4.2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Kennedy Lake Trail,Stanislaus National Forest,3,37,15.5,"1,991",1,4.7,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
899,Bluffs and Panorama Trail via Creamery Meadow,Andrew Molera State Park,2,34,7.9,"1,276",1,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
900,Mount El Sombroso via Kennedy Trail,Sierra Azul Open Space Preserve,3,88,11.7,"2,755",1,4.2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
901,Saddlebag Lake Trail,Inyo National Forest,1,46,4.0,311,2,4.8,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,Griffith Park Old Zoo Loop,Griffith Park,1,79,2.7,419,2,4.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,Muir Beach to Tennessee Beach Loop,Muir Woods National Monument,2,44,8.4,"1,876",2,4.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
904,Round Top & Winnemucca and Fourth of July Lake,Mokelumne Wilderness,3,49,10.0,"3,490",2,4.9,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
905,Laguna Beach and Bluffs,Heisler Park,1,46,1.3,55,1,4.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
906,Natural Bridges to Lighthouse Field Loop,Natural Bridges State Park,1,66,4.8,121,1,4.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
907,Cronan Ranch West Ridge Trail via Gerle Loop,Cronan Ranch Regional Trails Park,2,81,12.3,"1,830",2,4.3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Tahoe Vista Trail,Tahoe National Forest,2,49,8.0,"1,541",1,4.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
909,South Fork Trail to Dry Lake,San Bernardino National Forest,3,79,10.9,"2,283",2,4.5,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
910,"Golden Spike, Bridle Trail, French Trail, West Ridge Trail Loop",Redwood Regional Park,2,88,8.1,"1,558",2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,Del Dios Highlands Preserve Trail,"Escondido, California",2,104,7.5,"1,837",2,4.3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
912,Gould Mesa Road: Angeles Crest Hwy to Paul Little Picnic Site,Angeles National Forest,2,107,5.2,793,1,4.3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
913,Maple Spring Trail,Cleveland National Forest,2,108,17.3,"3,192",1,4.1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
914,Lundy Canyon Trail,Hoover Wilderness,3,68,5.5,"2,122",1,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
915,Tahquitz Peak via Devil's Slide and Caramba Trail,San Jacinto Wilderness,2,28,9.1,"2,545",2,4.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,Serrano Ridge West Canyon Trail Loop,Laguna Coast Wilderness Park,2,69,6.7,"1,010",2,4.3,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
917,"Cataract, High March, Kent and Mickey O'Brien Trail Loop",Mount Tamalpais Watershed,2,52,6.3,"1,148",2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
918,Portuguese Bend Landslide Loop,Portuguese Bend Reserve,2,85,2.8,636,2,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
919,Sky Trail and Bear Valley Loop,Point Reyes National Seashore,3,68,10.5,"1,692",2,4.4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
920,Terranea Discovery Trail,"Rancho Palos Verdes, California",1,72,2.2,183,1,4.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
921,Tanbark Trail and Tin House,Julia Pfeiffer Burns State Park,3,44,6.1,"2,024",2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
922,Sawtooth Pass Trail,Sequoia National Park,3,26,12.7,"4,314",1,4.9,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
923,Diemer Trail,Chino Hills State Park,2,97,6.5,679,2,4.1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
924,Juniper Canyon Trail to High Peaks,Pinnacles National Park,3,82,3.6,"1,259",2,4.7,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
925,Turtle Rock/French Hill Loop,Chaparral Park,2,127,4.1,810,2,3.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
926,Pine Creek and Wall Point Trail,Mount Diablo State Park,2,100,4.0,695,2,4.2,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
927,Lake Tabeaud Loop,"Jackson, California",1,123,2.5,157,2,4.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
928,Snow Creek Falls Trail,Yosemite National Park,3,35,20.2,"5,387",1,4.7,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
929,Hagador Canyon Trail,Cleveland National Forest,2,109,4.2,606,1,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
930,Skyline Park Perimeter Loop,Skyline Wilderness Park,3,94,9.1,"2,273",2,4.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
931,Fairway Falls Trail,Ignacio Valley Preserve,1,98,1.3,154,1,4.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
932,Muir Grove Trail,Sequoia National Park,2,49,3.7,570,1,4.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
933,Mount Wilson via Little Santa Anita Canyon,Mount Wilson Trail Park,3,54,12.8,"4,852",1,4.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
934,Smugglers Cove Trail,Channel Islands National Park,2,67,7.7,"1,400",1,4.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
935,Big Sycamore Canyon Loop Trail,Point Mugu State Park,2,75,10.2,"1,217",2,4.3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
936,Bee Rock,Griffith Park,2,166,3.0,800,1,4.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
937,Soberanes Point and Whale Peak,Garrapata State Park,1,48,1.8,311,2,4.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
938,Shealor Lake Trail,El Dorado National Forest,2,77,2.2,692,1,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
939,Lake of the Sky Trail and Tallac Historic Site,Lake Tahoe Basin Management Unit,1,74,1.9,32,2,4.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
940,"Arroyo, Old Spanish and Toyon Trail",Coal Mine Ridge Park,1,88,3.5,692,2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
941,Potato Harbor Trail,Channel Islands National Park,1,62,4.9,603,2,4.7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
942,Ladybug Camp Trail,Sequoia National Park,2,77,7.2,"1,952",1,4.1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
943,Piedra Blanca Formations Trail,Los Padres National Forest,1,54,2.6,383,1,4.6,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
944,Limantour Beach Trail,Point Reyes National Seashore,1,54,5.3,72,1,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
945,South Fortuna-North Fortuna-Sheppards Trail Loop,Mission Trails Regional Park,2,76,8.2,"1,640",2,4.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,Coast Trail to Bass Lake,Point Reyes National Seashore,2,31,6.0,784,1,4.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
947,North View and Maze Trails,Joshua Tree National Park,2,77,5.9,685,2,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
948,Black Mountain Trail,San Bernardino National Forest,3,69,6.8,"2,063",1,4.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
949,Rose Peak From Sunol,Sunol Regional Wilderness,3,59,18.8,"4,028",1,4.5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
950,Mount Pinos via McGill Trail,Los Padres National Forest,2,75,15.4,"2,939",1,4.6,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
951,Almaden Quicksilver County Park Mountain Bike Trail,Almaden Quicksilver County Park,2,75,10.1,"1,679",2,4.2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
952,Dewey Point Trail,Yosemite National Park,2,43,7.5,"1,007",2,4.3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
953,Black Mountain OHV Trail,Cleveland National Forest,2,100,14.1,"3,054",1,4.2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
