Index,Name,Difficulty,Number of reviews,Location
#988,Grass Mountain Trail,HARD,116,"Los Padres National Forest
"
#989,Lake Balboa Trail,EASY,141,"Lake Balboa/Anthony C. Beilenson Park
"
#990,Shoreline Lake,EASY,124,"Shoreline at Mountain View Park
"
#991,Irvine Regional Park Trail,EASY,82,"Irvine Regional Park
"
#992,Hidden Valley Trail,HARD,45,"Mission Peak Regional Preserve
"
#993,Sulphur Mountain Road Trail,MODERATE,115,"Ventura, California
"
#994,Mount Wilson Toll Road Climb,HARD,24,"Eaton Canyon Natural Area Park
"
#995,Mount San Antonio,HARD,39,"Angeles National Forest
"
#996,Tide Pools Walk,EASY,62,"La Jolla, California
"
#997,San Francisco Bay Trail: San Lorenzo Creek to Hayward Landing,MODERATE,7,"Hayward Regional Shoreline
"
#998,Monarch Lakes Trail,HARD,41,"Sequoia National Park
"
#999,Horn Canyon Trail,MODERATE,110,"Los Padres National Forest
"
#1000,"Fickle Hill Grade #9, Big Rock Trail #4 and Meadow Trail #3 Loop",EASY,116,"Arcata Community Forest
"
#1001,Pilot Rock OHV Trail,MODERATE,78,"Silverwood Lake State Recreation Area
"
#1002,Temelpa Trail,HARD,90,"Mount Tamalpais Watershed
"
#1003,Palomar Observatory Trail,MODERATE,87,"Cleveland National Forest
"
#1004,Exploration Trail,MODERATE,100,"San Bernardino National Forest
"
#1005,Murphy Ranch Trail,EASY,120,"Murphy Ranch Park
"
#1006,Rope Canyon Trail,MODERATE,48,"Mecca Hills Wilderness
"
#1007,Panorama Trail to Little Yosemite Valley,HARD,82,"Yosemite National Park
"
#1008,El Corte de Madera Creek - Resolution Trail,MODERATE,117,"El Corte De Madera Creek Open Space Preserve
"
#1009,Sandstone Canyon via Fish Creek Wash,EASY,57,"Anza-Borrego Desert State Park
"
#1010,Stough Canyon Trail,MODERATE,79,"La Tuna Canyon Park
"
#1011,Kortum Trail,EASY,77,"Sonoma Coast State Park
"
#1012,Lake Calavera via Oak Riparian Park,MODERATE,139,"Oceanside, California
"
#1013,Old Pinnacles Trail to Balconies,MODERATE,63,"Pinnacles National Park
"
#1014,Josephine Peak Trail,HARD,94,"San Gabriel Mountains National Monument
"
#1015,Twin Peaks Trail,MODERATE,104,"Silverset Park
"
#1016,Maggie Lakes via Summit Trail,MODERATE,35,"Golden Trout Wilderness
"
#1017,Dawn Mine,MODERATE,141,"Angeles National Forest
"
#1018,Mount Davidson Trail,EASY,99,"Mount Davidson Park
"
#1019,Camp Nelson Trail,MODERATE,81,"Sequoia National Forest
"
#1020,Rodeo Beach to Hill 88,MODERATE,51,"Golden Gate National Recreation Area
"
#1021,Abbotts Lagoon Trail,EASY,98,"Point Reyes National Seashore
"
#1022,Table Rock Trail,HARD,106,"Robert Louis Stevenson State Park
"
#1023,Cozy Dell Via Foothill Trail,MODERATE,136,"Los Padres National Forest
"
#1024,Trans-Catalina Trail,HARD,47,"Avalon, California
"
#1025,Hidden Beach and False Klamath Rock,MODERATE,41,"Redwood National Park
"
#1026,Folsom Trail,MODERATE,70,"Folsom Lake State Recreation Area
"
#1027,Palisade Glacier Trail,HARD,36,"John Muir Wilderness
"
#1028,Carlon Falls Trail,EASY,81,"Stanislaus National Forest
"
#1029,"Fern Creek, Lost, and Ocean View Loop",EASY,64,"Muir Woods National Monument
"
#1030,Pacific Crest Trail,HARD,26,"Campo, California
"
#1031,Sill Hill Waterfall Trail,HARD,49,"Cuyamaca Rancho State Park
"
#1032,Loma Prieta and Bridge Loop Trail,MODERATE,66,"The Forest of Nisene Marks State Park
"
#1033,San Vicente Mountain: Old Nike Missile Site Trail,MODERATE,74,"San Vicente Mountain Park
"
#1034,Hellhole Canyon Open Space Preserve Trails,MODERATE,103,"Hellhole Canyon County Open Space Preserve
"
#1035,Montecito Peak Trail,MODERATE,57,"Los Padres National Forest
"
#1036,Manuel Peak Trail,HARD,67,"Pfeiffer Big Sur State Park
"
#1037,Coastal - SCA - Bobcat Trails,MODERATE,51,"Golden Gate National Recreation Area
"
#1038,Pioneertown to Big Bear via Burns Canyon Road and 2N02,MODERATE,93,"San Bernardino National Forest
"
#1039,Darwin Falls Trail via Old Toll Road,EASY,75,"Death Valley National Park
"
#1040,Rubio Canyon Trail,MODERATE,105,"Angeles National Forest
"
#1041,Loon Lake Trail,MODERATE,62,"El Dorado National Forest
"
#1042,China Gulch Trail to Grizzly Lake,HARD,39,"Trinity Alps Wilderness
"
#1043,George F. Canyon Nature Trail,EASY,113,"George F Canyon Open Space
"
#1044,Jamison Lake,MODERATE,60,"Plumas-Eureka State Park
"
#1045,Upper Rustic Garapito Loop Trail,MODERATE,49,"Topanga State Park
"
#1046,Emerald Lake Trail,EASY,66,"Inyo National Forest
"
#1047,Alpine Pedal Path Trail,EASY,77,"Big Bear Lake, California
"
#1048,Jennie Lake Trail,HARD,61,"Jennie Lakes Wilderness
"
#1049,Mount Baldy via Register Ridge,HARD,46,"Angeles National Forest
"
#1050,Desolation Canyon Trail,MODERATE,67,"Death Valley National Park
"
#1051,Gower Gulch Loop Trail,MODERATE,89,"Death Valley National Park
"
#1052,Zumwalt Meadow Loop Trail,EASY,69,"Kings Canyon National Park
"
#1053,Mt. Baden-Powell from Dawson Saddle,MODERATE,57,"Angeles National Forest
"
#1054,"Shoemaker Canyon Road, East Fork San Gabriel River",MODERATE,74,"Angeles National Forest
"
#1055,Tony Look Trail to Stevens Creek Resevoir,EASY,95,"Stevens Creek County Park
"
#1056,Kaiser Peak,HARD,84,"Sierra National Forest
"
#1057,Three Bridges Oak Preserve Trail,MODERATE,149,"Three Bridges Oak Preserve
"
#1058,Arroyo Trabuco Trail,MODERATE,120,"Ladera Ranch, California
"
#1059,Switzer Falls and Bear Canyon Camp via Gabrelino Trail,MODERATE,74,"San Gabriel Wilderness
"
#1060,Point Defiance Trail,EASY,110,"South Yuba River State Park
"
#1061,Wildcat Canyon Loop,MODERATE,63,"Rancho San Antonio County Park
"
#1062,"Whispering Creek Trail, Chabot-Garin Trail, Shady Canyon Trail, Ridgetop Trail Loop",MODERATE,26,"Don Castro Regional Recreation Area
"
#1063,Shell Ridge - Borgess Ranch Loop,MODERATE,105,"Shell Ridge Open Space
"
#1064,George Lake Trail,HARD,42,"Sierra National Forest
"
#1065,"Big Break Regional Shoreline Visitor Center, Delta Discovery Experience, Big Break Regional Trail Loop",EASY,16,"Big Break Regional Shoreline
"
#1066,Lake of the Woods via Pacific Crest Trail,MODERATE,29,"Desolation Wilderness
"
#1067,Crescenta View Trail,MODERATE,80,"Deukmejian Wilderness Park
"
#1068,Alhambra Creek Trail,MODERATE,113,"Briones Regional Park
"
#1069,Kennedy Lake Trail,HARD,37,"Stanislaus National Forest
"
#1070,Bluffs and Panorama Trail via Creamery Meadow,MODERATE,34,"Andrew Molera State Park
"
#1071,Mount El Sombroso via Kennedy Trail,HARD,88,"Sierra Azul Open Space Preserve
"
#1072,Saddlebag Lake Trail,EASY,46,"Inyo National Forest
"
#1073,Griffith Park Old Zoo Loop,EASY,79,"Griffith Park
"
#1074,Muir Beach to Tennessee Beach Loop,MODERATE,44,"Muir Woods National Monument
"
#1075,Round Top & Winnemucca and Fourth of July Lake,HARD,49,"Mokelumne Wilderness
"
#1076,Lake Hodges Trail,EASY,79,"Hodges Reservoir
"
#1077,Laguna Beach and Bluffs,EASY,46,"Heisler Park
"
#1078,Natural Bridges to Lighthouse Field Loop,EASY,66,"Natural Bridges State Park
"
#1079,Cronan Ranch West Ridge Trail via Gerle Loop,MODERATE,81,"Cronan Ranch Regional Trails Park
"
#1080,Tahoe Vista Trail,MODERATE,49,"Tahoe National Forest
"
#1081,Summit Rock Loop Trail,MODERATE,68,"Sanborn County Park
"
#1082,South Fork Trail to Dry Lake,HARD,79,"San Bernardino National Forest
"
#1083,Wildcat Canyon Loop Trail,MODERATE,116,"Wildcat Canyon Regional Park
"
#1084,Upper Las Virgenes Canyon Open Space Preserve Trail,MODERATE,98,"Upper Las Virgenes Canyon Open Space Preserve
"
#1085,Spring Lake Loop,EASY,113,"Spring Lake Regional Park
"
#1086,"Golden Spike, Bridle Trail, French Trail, West Ridge Trail Loop",MODERATE,88,"Redwood Regional Park
"
#1087,Del Dios Highlands Preserve Trail,MODERATE,104,"Escondido, California
"
#1088,Gould Mesa Road: Angeles Crest Hwy to Paul Little Picnic Site,MODERATE,107,"Angeles National Forest
"
#1089,Maple Spring Trail,MODERATE,108,"Cleveland National Forest
"
#1090,Lundy Canyon Trail,HARD,68,"Hoover Wilderness
"
#1091,Devil's Kitchen Trail,MODERATE,47,"Lassen Volcanic National Park
"
#1092,Tahquitz Peak via Devil's Slide and Caramba Trail,MODERATE,28,"San Jacinto Wilderness
"
#1093,Devils Bathtub Trail,HARD,35,"Sierra National Forest
"
#1094,Serrano Ridge West Canyon Trail Loop,MODERATE,69,"Laguna Coast Wilderness Park
"
#1095,"Cataract, High March, Kent and Mickey O'Brien Trail Loop",MODERATE,52,"Mount Tamalpais Watershed
"
#1096,Wright Peak Summit Trail,HARD,86,"Kelseyville, California
"
#1097,Portuguese Bend Landslide Loop,MODERATE,85,"Portuguese Bend Reserve
"
#1098,Sky Trail and Bear Valley Loop,HARD,68,"Point Reyes National Seashore
"
#1099,Terranea Discovery Trail,EASY,72,"Rancho Palos Verdes, California
"
#1100,Tanbark Trail and Tin House,HARD,44,"Julia Pfeiffer Burns State Park
"
#1101,American River,EASY,80,"Folsom Lake State Recreation Area
"
#1102,Balconies Trail,MODERATE,51,"Pinnacles National Park
"
#1103,Sawtooth Pass Trail,HARD,26,"Sequoia National Park
"
#1104,Long Ridge Loop,EASY,80,"Long Ridge Open Space Preserve
"
#1105,Topanga Canyon Loop,HARD,51,"Topanga State Park
"
#1106,Diemer Trail,MODERATE,97,"Chino Hills State Park
"
#1107,Juniper Canyon Trail to High Peaks,HARD,82,"Pinnacles National Park
"
#1108,Turtle Rock/French Hill Loop,MODERATE,127,"Chaparral Park
"
#1109,Pine Creek and Wall Point Trail,MODERATE,100,"Mount Diablo State Park
"
#1110,Lake Tabeaud Loop,EASY,123,"Jackson, California
"
#1111,Snow Creek Falls Trail,HARD,35,"Yosemite National Park
"
#1112,Hagador Canyon Trail,MODERATE,109,"Cleveland National Forest
"
#1113,Green Valley Trail,EASY,75,"Rockville Hills Regional Park
"
#1114,Skyline Park Perimeter Loop,HARD,94,"Skyline Wilderness Park
"
#1115,Fairway Falls Trail,EASY,98,"Ignacio Valley Preserve
"
#1116,Muir Grove Trail,MODERATE,49,"Sequoia National Park
"
#1117,Mount Wilson via Little Santa Anita Canyon,HARD,54,"Mount Wilson Trail Park
"
#1118,Russian Gulch Waterfall Loop Trail,MODERATE,61,"Russian Gulch State Park
"
#1119,Smugglers Cove Trail,MODERATE,67,"Channel Islands National Park
"
#1120,Big Sycamore Canyon Loop Trail,MODERATE,75,"Point Mugu State Park
"
#1121,Coal Canyon Trail,EASY,94,"Chino Hills State Park
"
#1122,Bee Rock,MODERATE,166,"Griffith Park
"
#1123,Warren Lake Trail,HARD,46,"Tahoe National Forest
"
#1124,Soberanes Point and Whale Peak,EASY,48,"Garrapata State Park
"
#1125,Shealor Lake Trail,MODERATE,77,"El Dorado National Forest
"
#1126,Lake of the Sky Trail and Tallac Historic Site,EASY,74,"Lake Tahoe Basin Management Unit
"
#1127,"Arroyo, Old Spanish and Toyon Trail",EASY,88,"Coal Mine Ridge Park
"
#1128,Potato Harbor Trail,EASY,62,"Channel Islands National Park
"
#1129,Ladybug Camp Trail,MODERATE,77,"Sequoia National Park
"
#1130,Colby Trail,EASY,93,"Brodiaea Reserve
"
#1131,Sawtooth Loop Trail,MODERATE,77,"Tahoe National Forest
"
#1132,Piedra Blanca Formations Trail,EASY,54,"Los Padres National Forest
"
#1133,Blue Canyon Lake,HARD,47,"Emigrant Wilderness
"
#1134,Juniper and Summit Trail Loop,MODERATE,73,"Mount Diablo State Park
"
#1135,Chantry Flat to Mount Wilson via Winter Creek,HARD,70,"Angeles National Forest
"
#1136,Limantour Beach Trail,EASY,54,"Point Reyes National Seashore
"
#1137,South Fortuna-North Fortuna-Sheppards Trail Loop,MODERATE,76,"Mission Trails Regional Park
"
#1138,Coast Trail to Bass Lake,MODERATE,31,"Point Reyes National Seashore
"
#1139,North View and Maze Trails,MODERATE,77,"Joshua Tree National Park
"
#1140,Black Mountain Trail,HARD,69,"San Bernardino National Forest
"
#1141,Rose Peak From Sunol,HARD,59,"Sunol Regional Wilderness
"
#1142,Mount Pinos via McGill Trail,MODERATE,75,"Los Padres National Forest
"
#1143,Almaden Quicksilver County Park Mountain Bike Trail,MODERATE,75,"Almaden Quicksilver County Park
"
#1144,Buzzard's Roost Trail,MODERATE,84,"Millerton Lake State Recreation Area
"
#1145,Bell Mountain,MODERATE,140,"Apple Valley, California
"
#1146,Wild Horse Trail,HARD,80,"Agua Tibia Wilderness
"
#1147,Dewey Point Trail,MODERATE,43,"Yosemite National Park
"
#1148,Black Mountain OHV Trail,MODERATE,100,"Cleveland National Forest
"
#1149,Kibbie Lake Trail,HARD,29,"Yosemite National Park
"
#1150,Vincent Gap to Mount Baden-Powell via PCT,HARD,72,"Sheep Mountain Wilderness
"
#1151,Skyline Trail to Aerial Tramway Top Station,HARD,63,"Mount San Jacinto State Park
"
#1152,Cardiac Hill,MODERATE,97,"Auburn State Recreation Area
"
#1153,Wrights Lake to Grouse Lake,MODERATE,48,"El Dorado National Forest
"
#1154,Rice Canyon Trail,EASY,126,"Rice Canyon Open Space Preserve
"
#1155,Matt Davis Trail to Pan Toll Road,MODERATE,28,"Mount Tamalpais State Park
"
#1156,"Deer Camp Fire Road, Old Quarry and Michako Loop",MODERATE,102,"Mount Burdell Preserve
"
#1157,Ritchey Canyon Trail and Coyote Peak,MODERATE,103,"Bothe-Napa Valley State Park
"
#1158,Willow Creek OHV Trail,MODERATE,62,"San Bernardino National Forest
"
#1159,John Muir Trail in Kings Canyon,HARD,14,"Kings Canyon National Park
"
#1160,Trippet Ranch to Eagle Springs Loop Trail,MODERATE,53,"Topanga State Park
"
#1161,Seven Teacups Trail,MODERATE,42,"Sequoia National Forest
"
#1162,Sycamore Creek Trail,EASY,116,"Sycamore Grove Park
"
#1163,Garstin Loop Trail,MODERATE,120,"Santa Rosa and San Jacinto Mountains National Monument
"
#1164,Blue Sky Ecological Reserve Trail,EASY,71,"Blue Sky Ecological Reserve
"
#1165,Salmon Lake Trail,EASY,56,"Tahoe National Forest
"
#1166,Ridge and Sprig Trails Loop,MODERATE,77,"Mount Madonna County Park
"
#1167,Jurupa Hills North Trail,MODERATE,100,"Martin Tudor-Jurupa Hills Regional Park
"
#1168,Leona Canyon Trail,EASY,100,"Leona Regional Open Space Park
"
#1169,Round Valley Trail to Wellman Divide,HARD,48,"Mount San Jacinto State Park
"
#1170,Bernal Heights Park Trail,EASY,86,"Bernal Heights Park
"
#1171,Randall Henderson Loop Trail,MODERATE,125,"Santa Rosa and San Jacinto Mountains National Monument
"
#1172,Briones Hills Loop Trail,MODERATE,80,"Briones Regional Park
"
#1173,"Black Mountain via PG&E, Quarry and Black Mountain Trail",HARD,38,"Rancho San Antonio County Park
"
#1174,Hazard Peak Trail,MODERATE,80,"Montana De Oro State Park
"
#1175,Momyer Creek Trail to Dobbs Cabin,MODERATE,73,"Forest Falls, California
"
#1176,Upper Otay Reservoir,MODERATE,136,"Chula Vista, California
"
#1177,Little Sycamore Canyon and Serrano Ridge Loop,MODERATE,84,"Laguna Coast Wilderness Park
"
#1178,Lonely Trail to Richards Road Loop,MODERATE,82,"Huddart Park
"
#1179,Hidden Horseshoe and Pushwalla Palms Trail,MODERATE,99,"Coachella Valley Preserve
"
#1180,Shelf Road Trail,EASY,95,"Los Padres National Forest
"
#1181,Shell Ridge: Twin Ponds Loop,MODERATE,98,"Shell Ridge Open Space
"
#1182,Towsley Canyon Short Loop,MODERATE,97,"Santa Clarita Woodlands Park
"
#1183,Old Stagecoach Road,MODERATE,106,"Santa Susana Pass State Historic Park
"
#1184,Newport Beach Back Bay Trail,EASY,85,"Upper Newport Bay Ecological Reserve
"
#1185,Half Moon Bay Coastal Trail,EASY,79,"Half Moon Bay State Beach
"
#1186,Keller Peak,MODERATE,64,"San Bernardino National Forest
"
#1187,North Bayfront Loop Trail,MODERATE,104,"Baylands Nature Preserve
"
#1188,Clyde Lake,MODERATE,15,"Desolation Wilderness
"
#1189,South Plateau Trail to Bird Island,MODERATE,31,"Point Lobos State Natural Reserve
"
#1190,Grizzly Falls,EASY,40,"Kings Canyon National Park
"
#1191,Gilmore Lake,MODERATE,41,"Desolation Wilderness
"
#1192,Pentachaeta Loop,HARD,105,"Triunfo Creek Park
"
#1193,Presidio Loop Trail,MODERATE,80,"Presidio of San Francisco
"
#1194,"East Ridge, Waterfall, and Pioneer Nature Trail",MODERATE,78,"Armstrong Redwoods State Reserve
"
#1195,Orange Hills Trail,MODERATE,119,"El Modena Open Space
"
#1196,Wall Street Mill Trail,EASY,82,"Joshua Tree National Park
"
#1197,King Mountain Loop Trail,MODERATE,105,"King Mountain Open Space Preserve
"
#1198,"Bommer Ridge, Moro Ridge, I Think I Can, El Moro Canyon and Slow 'N Easy Loop",MODERATE,93,"Crystal Cove State Park
"
#1199,Meadowlark Ridge Loop,EASY,23,"Waterbird Regional Preserve
"
#1200,Kubota Trail and Toyen Trail Loop,MODERATE,51,"Portuguese Bend Reserve
"
#1201,Wellbarn Road Trail to Big Table Mountain,HARD,90,"Big Table Mountain Ecological Reserve
"
#1202,Rose Canyon Trail,EASY,87,"Rose Canyon Open Space
"
#1203,Black Rock Canyon Trail to Warren Peak,HARD,60,"Joshua Tree National Park
"
#1204,Cathedral Peak Trail,HARD,59,"Los Padres National Forest
"
#1205,Wagon Wheel Canyon Loop Trail,MODERATE,78,"Thomas F Riley Wilderness Park
"
#1206,Moraga Steps,EASY,51,"Grand View Park
"
#1207,Middleridge Trail,MODERATE,111,"Folsom Lake State Recreation Area
"
#1208,Pioneer Express Trail,MODERATE,65,"Folsom Lake State Recreation Area
"
#1209,Jack London Mountain and Quarry Trail,EASY,84,"Jack London State Historic Park
"
#1210,Orchard Camp via Mt Wilson Trail,MODERATE,40,"Mount Wilson Trail Park
"
#1211,Serrania Ridge Trail,MODERATE,94,"Serrania Park
"
#1212,Hermit Gulch Trail to Lone Tree Point,MODERATE,70,"Avalon, California
"
#1213,Long Lake Loop Trail,MODERATE,55,"Plumas National Forest
"
#1214,La Canada Teepee via Crosstown Trail,MODERATE,109,"Angeles National Forest
"
#1215,Stonewall Mine / Lake Cuyamaca Hike,EASY,80,"Ah-Ha-Kwe-Ah-Mac/Stonewall Mine Cultural Preserve
"
#1216,Wolf Ridge Trail to Marincello Trail Loop,MODERATE,52,"Golden Gate National Recreation Area
"
#1217,Saddle Rock Trail,MODERATE,69,"Los Padres National Forest
"
#1218,Lake Chabot via East Shore Trail,EASY,55,"Lake Chabot Regional Park
"
#1219,Oak Canyon Trail to South Fortuna Trail,HARD,25,"Mission Trails Regional Park
"
#1220,Monserate Mountain Trail,MODERATE,95,"Fallbrook, California
"
#1221,Muir Woods via the Bootjack Trail,MODERATE,50,"Mount Tamalpais State Park
"
#1222,Hamms Gulch Trail,MODERATE,58,"Windy Hill Open Space
"
#1223,Sturtevant Trail,HARD,28,"Angeles National Forest
"
#1224,Agua Tibia Full Loop Trail,HARD,66,"Agua Tibia Wilderness
"
#1225,Ediza Lake Loop Trail,MODERATE,28,"Ansel Adams Wilderness
"
#1226,North Lykken Trail,MODERATE,96,"Santa Rosa and San Jacinto Mountains National Monument
"
#1227,Bull Creek Flats Trail,MODERATE,67,"Bull Creek State Wilderness
"
#1228,Gridley Trail,HARD,76,"Los Padres National Forest
"
#1229,Dunsmore Canyon and Le Mesanger Loop Trails,MODERATE,101,"Deukmejian Wilderness Park
"
#1230,Keys View Loop to Inspiration Point Trail,EASY,47,"Joshua Tree National Park
"
#1231,Chalk Mountain Via Skyline to the Sea and Westridge Trails,HARD,28,"Theodore J. Hoover Natural Preserve
"
#1232,Lone Pine Lake Trail to John Muir Trail,HARD,23,"Inyo National Forest
"
#1233,San Juan Trail,HARD,55,"Cleveland National Forest
"
#1234,Rockefeller Loop Trail,EASY,77,"Humboldt Redwoods State Park
"
#1235,Rattlesnake Peak Trail,HARD,62,"Angeles National Forest
"
#1236,Lyons Dam,EASY,80,"Stanislaus National Forest
"
#1237,Hopalong Cassidy Trail,MODERATE,72,"Santa Rosa and San Jacinto Mountains National Monument
"
#1238,Bernardo Bay Trail,EASY,92,"Rancho Bernardo Community Park
"
#1239,Redwood Creek Trail,MODERATE,34,"Redwood National Park
"
#1240,Johnny Cash Trail,EASY,110,"Folsom Lake State Recreation Area
"
#1241,High Meadows to Cold Creek Trail,MODERATE,74,"Lake Tahoe Basin Management Unit
"
#1242,Franklin Trail,HARD,87,"Los Padres National Forest
"
#1243,Maisie's Peak and Nob Hill Extended Loop,MODERATE,68,"Fremont Older Open Space Preserve
"
#1244,Sky Camp Trail,MODERATE,62,"Point Reyes National Seashore
"
#1245,Franklin Lakes Trail,HARD,32,"Sequoia National Park
"
#1246,Fiesta Island Trail,EASY,100,"Mission Bay Park
"
#1247,Dragoon Gulch Trail,EASY,98,"Sonora, California
"
#1248,Wildwood Canyon Trail,MODERATE,122,"Wildwood Canyon State Park
"
#1249,Cone Peak Summit Trail,MODERATE,20,"Ventana Wilderness
"
#1250,Tennesse Valley to Muir Beach and Fox Trail,HARD,52,"Golden Gate National Recreation Area
"
#1251,Deep Creek Hot Springs to Bradford Ridge Path,HARD,72,"San Bernardino National Forest
"
#1252,Carriage Trail,EASY,97,"Redlands, California
"
#1253,Garnet Peak via PCT,MODERATE,74,"Cleveland National Forest
"
#1254,Clara Burgess Trail to Murray Hill,MODERATE,85,"Santa Rosa and San Jacinto Mountains National Monument
"
#1255,Otay River Valley Trail,EASY,117,"Otay Valley Regional Park
"
#1256,"Ridge Trail to Goat Rock Overlook, Emily Smith Observation Point, and Saratoga Gap Trail",MODERATE,52,"Castle Rock State Park
"
#1257,Nimitz Way Trail to Wildcat Creek Trail Loop,MODERATE,84,"Tilden Regional Park
"
#1258,Cathedral Trees Trail,EASY,43,"Prairie Creek Redwoods State Park
"
#1259,El Capitan Loop,HARD,41,"Yosemite National Park
"
#1260,Gaylor Lakes Trail,HARD,53,"Yosemite National Park
"
#1261,Salmon Creek Trail to Salmon Creek Falls,EASY,43,"Los Padres National Forest
"
#1262,Ney Springs & Faery Falls,EASY,83,"Shasta-Trinity National Forest
"
#1263,Pictograph Trail,EASY,49,"Anza-Borrego Desert State Park
"
#1264,Lafayette Ridge Trail,MODERATE,74,"Briones Regional Park
"
#1265,Skyline Divide OHV Trail,MODERATE,62,"San Bernardino National Forest
"
#1266,Thunder Mountain Loop Trail,MODERATE,65,"El Dorado National Forest
"
#1267,Berryessa Peak Trail,HARD,50,"Berryessa Snow Mountain National Monument
"
#1268,Cliff Lake,MODERATE,48,"Sierra National Forest
"
#1269,Manzanita Ridge via Mt. Wilson Trail,HARD,77,"Mount Wilson Trail Park
"
#1270,Rose Bowl Loop Trail,EASY,71,"Brookside Park
"
#1271,Hellhole Canyon,MODERATE,98,"Anza-Borrego Desert State Park
"
#1272,Big Sycamore Canyon Trail,EASY,70,"Point Mugu State Park
"
#1273,Bolinas Ridge Trail,MODERATE,80,"Golden Gate National Recreation Area
"
#1274,Franklin Ridge Trail,MODERATE,90,"Carquinez Shoreline Regional Park
"
#1275,Secret Valley Loop,MODERATE,77,"Mount Diablo State Park
"
#1276,"Englesman, Long Meadow, Eucalyptus, Wilder Ridge Loop",MODERATE,58,"Wilder Ranch State Park
"
#1277,Boucher Trail and Scott's Cabin Loop,MODERATE,49,"Palomar Mountain State Park
"
#1278,Western Plateau Trail and Hawk Canyon Trail Loop,MODERATE,107,"Wildwood Regional Park
"
#1279,PCT: CA Section C - Highway 10 to Highway 15 (Cajon Pass),HARD,56,"Mount San Jacinto State Park
"
#1280,Salt Creek Trail,EASY,81,"Salt Creek Beach Park
"
#1281,Whiting Road to Billy Goat Loop Trail,HARD,79,"Whiting Ranch Wilderness Park
"
#1282,Azalea Lake and Flora Lake via Donner Summit Lakes Trail,MODERATE,48,"Tahoe National Forest
"
#1283,Sweetwater Trail,MODERATE,85,"Sweetwater Summit Regional Park
"
#1284,Dead Falls Lake Trail,MODERATE,32,"Shasta-Trinity National Forest
"
#1285,"Old Tree, Slate Creek, Bear Creek, and Peters Creek Trails",MODERATE,56,"Portola Redwoods State Park
"
#1286,Monument Peak Trail,MODERATE,70,"Cleveland National Forest
"
#1287,"Canopy, Dipsea and Sun Trail Loop",MODERATE,64,"Mount Tamalpais State Park
"
#1288,Scotts Flat Trail,MODERATE,66,"Nevada City, California
"
#1289,"Skyline Trail, Thatcher's Rim Rock Trail, and Lake Marie Road Loop",HARD,66,"Skyline Wilderness Park
"
#1290,Founders Grove Nature Trail,EASY,88,"Humboldt Redwoods State Park
"
#1291,Power Line Trail,MODERATE,89,"El Dorado National Forest
"
#1292,Ralph B. Clark Perimeter Trail,EASY,98,"Ralph B Clark Regional Park
"
#1293,"Camp Ohlone Road to Little Yosemite, Geary Road, Backpack Road, McCorkle",MODERATE,53,"Sunol Regional Wilderness
"
#1294,High View Nature Trail,MODERATE,88,"Joshua Tree National Park
"
#1295,Shady Canyon Trail,MODERATE,81,"Quail Hill Community Park
"
#1296,Peters Canyon and East Ridge View Trail Loop,MODERATE,57,"Peters Canyon Regional Park
"
#1297,Cowles Mountain Service Road Loop,MODERATE,76,"Mission Trails Regional Park
"
#1298,Loma Alta and Big Rock Ridge Trail,MODERATE,72,"Lucas Valley Preserve
"
#1299,Bommer Ridge Trail,EASY,44,"Laguna Coast Wilderness Park
"
#1300,Grasslands Trail,EASY,43,"Malibu Creek State Park
"
#1301,Calcite Mine Trail,MODERATE,50,"Anza-Borrego Desert State Park
"
#1302,Muir Beach to Point Bonita Lighthouse,HARD,24,"Golden Gate National Recreation Area
"
#1303,Amir's Garden Trail,MODERATE,81,"Griffith Park
"
#1304,Lake Hennessey Shoreline Trail / Alta Hennessey Loop,MODERATE,89,"Napa County Regional Park
"
#1305,Hot Springs Canyon Trail,MODERATE,72,"Los Padres National Forest
"
#1306,"West Ridge Trail, Lynx, and Cholla Trails",MODERATE,56,"Aliso And Wood Canyons Regional Park
"
#1307,Lower Arroyo Seco Trail,EASY,87,"Lower Arroyo Park
"
#1308,West Fork National Scenic Bikeway,EASY,47,"Angeles National Forest
"
#1309,Smith Mountain Trail,HARD,81,"Angeles National Forest
"
#1310,Trinidad Head Lighthouse,EASY,91,"Trinidad State Beach
"
#1311,Harrier Trail,EASY,23,"Bay Point Regional Shoreline
"
#1312,Lake Fulmor,EASY,67,"San Jacinto Wilderness
"
#1313,Berdoo Canyon,MODERATE,97,"Joshua Tree National Park
"
#1314,"Rodeo Valley, SCA and Julian Trail",MODERATE,54,"Golden Gate National Recreation Area
"
#1315,"Cherry Canyon: Owl, Liz's Loop, Cerro Negro Trails",MODERATE,89,"Cherry Canyon Park
"
#1316,"Rocky Ridge Road, Shady Red, Purple Trail, and Burton Creek",EASY,68,"Burton Creek State Park
"
#1317,Lodi Lake Nature Trail,EASY,109,"Lodi Lake Park
"
#1318,Crestridge Ecological Reserve Trail,MODERATE,78,"Crestridge Ecological Reserve
"
#1319,French Trail via Redwood Gate,MODERATE,36,"Redwood Regional Park
"
#1320,Rowher OHV Trail to Bouquet Reservoir,HARD,79,"Angeles National Forest
"
#1321,Laguna Mountain Ridge via the PCT,MODERATE,51,"Anza-Borrego Desert State Park
"
#1322,Avenue of the Noble Giants,MODERATE,73,"Joseph D Grant County Park
"
#1323,San Juan Hill,MODERATE,91,"Chino Hills State Park
"
