,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
917,"Cataract, High March, Kent and Mickey O'Brien Trail Loop",MODERATE,52,"Mount Tamalpais Watershed
",6.3 miles,"1,148 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, river, views, waterfall, wild flowers, wildlife,",4.4
918,Portuguese Bend Landslide Loop,MODERATE,85,"Portuguese Bend Reserve
",2.8 miles,636 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, beach, views, wild flowers,",4.4
919,Sky Trail and Bear Valley Loop,HARD,68,"Point Reyes National Seashore
",10.5 miles,"1,692 feet",Loop,"hiking, horseback riding, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.4
920,Terranea Discovery Trail,EASY,72,"Rancho Palos Verdes, California
",2.2 miles,183 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, trail running, walking, bird watching, beach, cave, views, wild flowers, wildlife, rocky,",4.5
921,Tanbark Trail and Tin House,HARD,44,"Julia Pfeiffer Burns State Park
",6.1 miles,"2,024 feet",Loop,"hiking, nature trips, trail running, bird watching, forest, river, views, wild flowers, wildlife, no dogs,",4.4
922,Sawtooth Pass Trail,HARD,26,"Sequoia National Park
",12.7 miles,"4,314 feet",Out & Back,"hiking, nature trips, rock climbing, bird watching, forest, views, wild flowers, wildlife, rocky, scramble, snow, no dogs,",4.9
923,Diemer Trail,MODERATE,97,"Chino Hills State Park
",6.5 miles,679 feet,Loop,"kid friendly, hiking, horseback riding, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.1
924,Juniper Canyon Trail to High Peaks,HARD,82,"Pinnacles National Park
",3.6 miles,"1,259 feet",Loop,"hiking, nature trips, rock climbing, trail running, bird watching, forest, river, views, wild flowers, wildlife, no dogs,",4.7
925,Turtle Rock/French Hill Loop,MODERATE,127,"Chaparral Park
",4.1 miles,810 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wildlife, over grown,",3.8
926,Pine Creek and Wall Point Trail,MODERATE,100,"Mount Diablo State Park
",4.0 miles,695 feet,Loop,"kid friendly, camping, hiking, mountain biking, nature trips, trail running, walking, bird watching, cave, forest, river, views, wild flowers, wildlife, bugs, no dogs,",4.2
927,Lake Tabeaud Loop,EASY,123,"Jackson, California
",2.5 miles,157 feet,Loop,"dogs on leash, kid friendly, fishing, horseback riding, paddle sports, trail running, walking, bird watching, forest, lake, views,",4
928,Snow Creek Falls Trail,HARD,35,"Yosemite National Park
",20.2 miles,"5,387 feet",Out & Back,"backpacking, camping, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife, no dogs,",4.7
929,Hagador Canyon Trail,MODERATE,109,"Cleveland National Forest
",4.2 miles,606 feet,Out & Back,"dogs on leash, hiking, views, wild flowers, wildlife, muddy, rocky,",4.3
930,Skyline Park Perimeter Loop,HARD,94,"Skyline Wilderness Park
",9.1 miles,"2,273 feet",Loop,"hiking, mountain biking, trail running, forest, lake, views, wild flowers, wildlife, bugs, no shade, no dogs,",4.3
931,Fairway Falls Trail,EASY,98,"Ignacio Valley Preserve
",1.3 miles,154 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, river, views, waterfall, wild flowers, wildlife,",4.2
932,Muir Grove Trail,MODERATE,49,"Sequoia National Park
",3.7 miles,570 feet,Out & Back,"camping, hiking, forest, river, views, wild flowers, wildlife, no dogs,",4.6
933,Mount Wilson via Little Santa Anita Canyon,HARD,54,"Mount Wilson Trail Park
",12.8 miles,"4,852 feet",Out & Back,"dogs on leash, hiking, nature trips, bird watching, forest, views, waterfall, wildlife, bugs, rocky, no shade, historic site,",4.5
934,Smugglers Cove Trail,MODERATE,67,"Channel Islands National Park
",7.7 miles,"1,400 feet",Out & Back,"hiking, nature trips, walking, bird watching, beach, views, wild flowers, no dogs,",4.6
935,Big Sycamore Canyon Loop Trail,MODERATE,75,"Point Mugu State Park
",10.2 miles,"1,217 feet",Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, beach, views, wildlife, no dogs,",4.3
936,Bee Rock,MODERATE,166,"Griffith Park
",3.0 miles,800 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, views, wildlife,",4.1
937,Soberanes Point and Whale Peak,EASY,48,"Garrapata State Park
",1.8 miles,311 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, beach, views, wild flowers, wildlife, over grown, no shade, no dogs,",4.5
938,Shealor Lake Trail,MODERATE,77,"El Dorado National Forest
",2.2 miles,692 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, snow,",4.4
939,Lake of the Sky Trail and Tallac Historic Site,EASY,74,"Lake Tahoe Basin Management Unit
",1.9 miles,32 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, walking, beach, lake, views, wildlife, no shade,",4.5
940,"Arroyo, Old Spanish and Toyon Trail",EASY,88,"Coal Mine Ridge Park
",3.5 miles,692 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.4
941,Potato Harbor Trail,EASY,62,"Channel Islands National Park
",4.9 miles,603 feet,Loop,"kid friendly, camping, hiking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, wildlife, rocky, no dogs,",4.7
942,Ladybug Camp Trail,MODERATE,77,"Sequoia National Park
",7.2 miles,"1,952 feet",Out & Back,"kid friendly, backpacking, camping, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife, no dogs,",4.1
943,Piedra Blanca Formations Trail,EASY,54,"Los Padres National Forest
",2.6 miles,383 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, nature trips, walking, bird watching, river, views, wild flowers, wildlife, bugs, no shade,",4.6
944,Limantour Beach Trail,EASY,54,"Point Reyes National Seashore
",5.3 miles,72 feet,Out & Back,"kid friendly, hiking, nature trips, surfing, walking, beach, views, historic site, no dogs,",4.4
945,South Fortuna-North Fortuna-Sheppards Trail Loop,MODERATE,76,"Mission Trails Regional Park
",8.2 miles,"1,640 feet",Loop,"dog friendly, hiking, nature trips, trail running, walking, views, wild flowers, wildlife,",4.5
946,Coast Trail to Bass Lake,MODERATE,31,"Point Reyes National Seashore
",6.0 miles,784 feet,Out & Back,"hiking, nature trips, walking, bird watching, beach, forest, lake, views, no dogs,",4.2
947,North View and Maze Trails,MODERATE,77,"Joshua Tree National Park
",5.9 miles,685 feet,Loop,"hiking, forest, views, wild flowers, wildlife, no dogs,",4.5
948,Black Mountain Trail,HARD,69,"San Bernardino National Forest
",6.8 miles,"2,063 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, views, wildlife, rocky, scramble, no shade,",4.5
949,Rose Peak From Sunol,HARD,59,"Sunol Regional Wilderness
",18.8 miles,"4,028 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, bugs,",4.5
950,Mount Pinos via McGill Trail,MODERATE,75,"Los Padres National Forest
",15.4 miles,"2,939 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, mountain biking, nature trips, trail running, walking, forest, partially paved, views, wildlife,",4.6
951,Almaden Quicksilver County Park Mountain Bike Trail,MODERATE,75,"Almaden Quicksilver County Park
",10.1 miles,"1,679 feet",Loop,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, historic site,",4.2
952,Dewey Point Trail,MODERATE,43,"Yosemite National Park
",7.5 miles,"1,007 feet",Loop,"camping, hiking, nature trips, snowshoeing, walking, bird watching, forest, views, wild flowers, wildlife, bugs, snow, no dogs,",4.3
953,Black Mountain OHV Trail,MODERATE,100,"Cleveland National Forest
",14.1 miles,"3,054 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, off road driving, walking, bird watching, views, wild flowers, wildlife,",4.2
954,Kibbie Lake Trail,HARD,29,"Yosemite National Park
",13.1 miles,"2,618 feet",Loop,"backpacking, camping, fishing, hiking, nature trips, beach, forest, lake, river, views, wild flowers, wildlife, bugs, muddy, over grown, no dogs,",4.6
955,Vincent Gap to Mount Baden-Powell via PCT,HARD,72,"Sheep Mountain Wilderness
",12.0 miles,"3,868 feet",Out & Back,"dog friendly, backpacking, camping, hiking, nature trips, bird watching, forest, views, wild flowers, wildlife,",4.6
956,Skyline Trail to Aerial Tramway Top Station,HARD,63,"Mount San Jacinto State Park
",9.7 miles,"8,051 feet",Point to Point,"hiking, nature trips, bird watching, views, wild flowers, wildlife, rocky, snow, no shade, no dogs,",4.8
957,Cardiac Hill,MODERATE,97,"Auburn State Recreation Area
",4.4 miles,964 feet,Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, river, views, wildlife,",4.4
958,Wrights Lake to Grouse Lake,MODERATE,48,"El Dorado National Forest
",3.9 miles,"1,190 feet",Out & Back,"dog friendly, camping, fishing, hiking, nature trips, bird watching, forest, lake, views, waterfall, wild flowers, wildlife, bugs, scramble, snow,",4.6
959,Matt Davis Trail to Pan Toll Road,MODERATE,28,"Mount Tamalpais State Park
",6.5 miles,"1,729 feet",Out & Back,"hiking, nature trips, trail running, walking, bird watching, views,",4.8
960,"Deer Camp Fire Road, Old Quarry and Michako Loop",MODERATE,102,"Mount Burdell Preserve
",5.2 miles,"1,118 feet",Loop,"dog friendly, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no shade,",4.2
961,Ritchey Canyon Trail and Coyote Peak,MODERATE,103,"Bothe-Napa Valley State Park
",5.0 miles,"1,017 feet",Loop,"kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, rocky, no dogs,",4.2
962,Willow Creek OHV Trail,MODERATE,62,"San Bernardino National Forest
",6.3 miles,948 feet,Out & Back,"nature trips, off road driving, forest, river, views, no dogs,",4.5
963,John Muir Trail in Kings Canyon,HARD,14,"Kings Canyon National Park
",83.7 miles,"14,776 feet",Point to Point,"backpacking, camping, hiking, nature trips, bird watching, forest, lake, hot springs, river, views, waterfall, wild flowers, wildlife, blowdown, bridge out, bugs, muddy, over grown, rocky, scramble, snow, washed out, no dogs,",4.9
964,Trippet Ranch to Eagle Springs Loop Trail,MODERATE,53,"Topanga State Park
",6.1 miles,"1,200 feet",Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, river, views, wild flowers, wildlife, no shade, no dogs,",4.6
965,Garstin Loop Trail,MODERATE,120,"Santa Rosa and San Jacinto Mountains National Monument
",3.7 miles,"1,108 feet",Loop,"kid friendly, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, bugs, rocky, washed out, no shade, no dogs,",4.4
966,Ridge and Sprig Trails Loop,MODERATE,77,"Mount Madonna County Park
",5.1 miles,"1,184 feet",Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, forest, views, wild flowers,",4.5
967,Jurupa Hills North Trail,MODERATE,100,"Martin Tudor-Jurupa Hills Regional Park
",2.5 miles,"1,125 feet",Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, views, wild flowers, wildlife, rocky,",4.1
968,Leona Canyon Trail,EASY,100,"Leona Regional Open Space Park
",2.8 miles,469 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife,",4.2
969,Round Valley Trail to Wellman Divide,HARD,48,"Mount San Jacinto State Park
",6.6 miles,"1,558 feet",Loop,"backpacking, camping, hiking, nature trips, snowshoeing, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.7
970,Bernal Heights Park Trail,EASY,86,"Bernal Heights Park
",1.0 miles,104 feet,Loop,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, trail running, walking, bird watching, partially paved, views,",4.4
971,Randall Henderson Loop Trail,MODERATE,125,"Santa Rosa and San Jacinto Mountains National Monument
",2.7 miles,426 feet,Loop,"kid friendly, hiking, mountain biking, trail running, views, wildlife, no dogs,",4.1
972,Briones Hills Loop Trail,MODERATE,80,"Briones Regional Park
",6.5 miles,"1,125 feet",Loop,"dog friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.3
973,"Black Mountain via PG&E, Quarry and Black Mountain Trail",HARD,38,"Rancho San Antonio County Park
",11.2 miles,"3,146 feet",Out & Back,"backpacking, camping, hiking, horseback riding, nature trips, trail running, forest, views, wild flowers, wildlife, no dogs,",4.6
974,Hazard Peak Trail,MODERATE,80,"Montana De Oro State Park
",11.2 miles,"1,811 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.4
975,Momyer Creek Trail to Dobbs Cabin,MODERATE,73,"Forest Falls, California
",10.4 miles,"2,883 feet",Out & Back,"dog friendly, hiking, forest, waterfall, wild flowers,",4.4
976,Upper Otay Reservoir,MODERATE,136,"Chula Vista, California
",2.1 miles,157 feet,Loop,"dog friendly, kid friendly, fishing, hiking, mountain biking, trail running, walking, lake, rocky,",3.6
977,Little Sycamore Canyon and Serrano Ridge Loop,MODERATE,84,"Laguna Coast Wilderness Park
",4.7 miles,810 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wildlife, no dogs,",4.4
978,Lonely Trail to Richards Road Loop,MODERATE,82,"Huddart Park
",8.4 miles,"1,827 feet",Loop,"hiking, horseback riding, nature trips, trail running, walking, bird watching, forest, views, wild flowers, no dogs,",4.4
979,Hidden Horseshoe and Pushwalla Palms Trail,MODERATE,99,"Coachella Valley Preserve
",5.6 miles,944 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, river, views, wild flowers, wildlife, over grown, no shade, no dogs,",4.3
980,Shelf Road Trail,EASY,95,"Los Padres National Forest
",3.5 miles,410 feet,Out & Back,"dog friendly, kid friendly, backpacking, camping, hiking, mountain biking, nature trips, trail running, walking, bird watching, views,",4.2
981,Shell Ridge: Twin Ponds Loop,MODERATE,98,"Shell Ridge Open Space
",7.3 miles,"1,276 feet",Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, muddy, over grown,",4.3
982,Towsley Canyon Short Loop,MODERATE,97,"Santa Clarita Woodlands Park
",2.1 miles,423 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.5
983,Old Stagecoach Road,MODERATE,106,"Santa Susana Pass State Historic Park
",2.9 miles,705 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views, no dogs,",4.1
984,Newport Beach Back Bay Trail,EASY,85,"Upper Newport Bay Ecological Reserve
",10.1 miles,393 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, road biking, trail running, walking, bird watching, partially paved, views, wild flowers, wildlife,",4.2
985,Half Moon Bay Coastal Trail,EASY,79,"Half Moon Bay State Beach
",3.5 miles,213 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, fishing, road biking, surfing, trail running, walking, bird watching, beach, partially paved, views, wild flowers, no shade,",4.2
986,Keller Peak,MODERATE,64,"San Bernardino National Forest
",12.5 miles,"2,267 feet",Out & Back,"dog friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife, rocky, snow,",4.3
987,North Bayfront Loop Trail,MODERATE,104,"Baylands Nature Preserve
",5.3 miles,49 feet,Loop,"dogs on leash, kid friendly, fishing, hiking, nature trips, road biking, trail running, walking, bird watching, views, wild flowers, wildlife, no shade,",4.2
988,Clyde Lake,MODERATE,15,"Desolation Wilderness
",14.4 miles,"2,923 feet",Out & Back,"backpacking, camping, fishing, hiking, trail running, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, bugs, rocky, snow, no dogs,",4.8
989,South Plateau Trail to Bird Island,MODERATE,31,"Point Lobos State Natural Reserve
",1.6 miles,259 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, beach, views, wildlife, no dogs,",4.7
990,Gilmore Lake,MODERATE,41,"Desolation Wilderness
",8.6 miles,"1,837 feet",Out & Back,"dog friendly, backpacking, camping, fishing, hiking, trail running, forest, lake, views, wild flowers, wildlife, snow,",4.4
991,Pentachaeta Loop,HARD,105,"Triunfo Creek Park
",4.4 miles,"1,017 feet",Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, bird watching, forest, lake, views, wild flowers, wildlife, no shade,",4
992,Presidio Loop Trail,MODERATE,80,"Presidio of San Francisco
",3.6 miles,295 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, partially paved, views,",4.2
993,"East Ridge, Waterfall, and Pioneer Nature Trail",MODERATE,78,"Armstrong Redwoods State Reserve
",2.4 miles,574 feet,Loop,"kid friendly, hiking, trail running, forest, river, views, waterfall, no dogs,",4.4
994,Wall Street Mill Trail,EASY,82,"Joshua Tree National Park
",2.4 miles,88 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, off trail, no dogs,",4
995,"Bommer Ridge, Moro Ridge, I Think I Can, El Moro Canyon and Slow 'N Easy Loop",MODERATE,93,"Crystal Cove State Park
",8.9 miles,"1,387 feet",Loop,"hiking, mountain biking, nature trips, trail running, views, wild flowers, wildlife, no dogs,",4.4
996,Meadowlark Ridge Loop,EASY,23,"Waterbird Regional Preserve
",1.7 miles,167 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, lake, wildlife, no dogs,",2.8
997,Kubota Trail and Toyen Trail Loop,MODERATE,51,"Portuguese Bend Reserve
",3.5 miles,754 feet,Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, views,",4.3
998,Wellbarn Road Trail to Big Table Mountain,HARD,90,"Big Table Mountain Ecological Reserve
",6.9 miles,"1,653 feet",Out & Back,"dog friendly, fishing, hiking, horseback riding, mountain biking, nature trips, bird watching, lake, river, views, wild flowers, wildlife,",4.6
999,Black Rock Canyon Trail to Warren Peak,HARD,60,"Joshua Tree National Park
",5.0 miles,"1,023 feet",Out & Back,"hiking, trail running, views, no dogs,",4.6
1000,Wagon Wheel Canyon Loop Trail,MODERATE,78,"Thomas F Riley Wilderness Park
",2.7 miles,360 feet,Loop,"kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.3
1001,Moraga Steps,EASY,51,"Grand View Park
",0.1 miles,32 feet,Out & Back,"dogs on leash, kid friendly, hiking, walking, views, city walk,",4.4
1002,Middleridge Trail,MODERATE,111,"Folsom Lake State Recreation Area
",2.8 miles,328 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, river, views, wild flowers, wildlife,",3.9
1003,Jack London Mountain and Quarry Trail,EASY,84,"Jack London State Historic Park
",2.9 miles,521 feet,Loop,"kid friendly, hiking, horseback riding, mountain biking, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",4.3
1004,Orchard Camp via Mt Wilson Trail,MODERATE,40,"Mount Wilson Trail Park
",6.3 miles,"2,053 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife,",4.5
1005,Hermit Gulch Trail to Lone Tree Point,MODERATE,70,"Avalon, California
",5.9 miles,"1,509 feet",Loop,"dogs on leash, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, scramble,",4.6
1006,La Canada Teepee via Crosstown Trail,MODERATE,109,"Angeles National Forest
",2.7 miles,"1,312 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.4
1007,Stonewall Mine / Lake Cuyamaca Hike,EASY,80,"Ah-Ha-Kwe-Ah-Mac/Stonewall Mine Cultural Preserve
",3.3 miles,183 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, lake, views, wild flowers, wildlife, no dogs,",4.5
1008,Wolf Ridge Trail to Marincello Trail Loop,MODERATE,52,"Golden Gate National Recreation Area
",5.7 miles,"1,295 feet",Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, wildlife, no dogs,",4.4
1009,Lake Chabot via East Shore Trail,EASY,55,"Lake Chabot Regional Park
",3.5 miles,236 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, bird watching, lake, views,",4.2
1010,Oak Canyon Trail to South Fortuna Trail,HARD,25,"Mission Trails Regional Park
",10.3 miles,"2,335 feet",Out & Back,"dogs on leash, hiking, trail running,",4.6
1011,Muir Woods via the Bootjack Trail,MODERATE,50,"Mount Tamalpais State Park
",5.6 miles,"1,496 feet",Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, no dogs,",4.4
1012,Agua Tibia Full Loop Trail,HARD,66,"Agua Tibia Wilderness
",20.2 miles,"3,871 feet",Loop,"dogs on leash, backpacking, camping, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, blowdown, over grown,",4.3
1013,Ediza Lake Loop Trail,MODERATE,28,"Ansel Adams Wilderness
",20.3 miles,"3,687 feet",Loop,"dog friendly, backpacking, hiking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife,",4.6
1014,North Lykken Trail,MODERATE,96,"Santa Rosa and San Jacinto Mountains National Monument
",3.5 miles,"1,748 feet",Out & Back,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, rocky, no dogs,",4.2
1015,Bull Creek Flats Trail,MODERATE,67,"Bull Creek State Wilderness
",7.4 miles,636 feet,Loop,"hiking, horseback riding, nature trips, trail running, walking, forest, river, views, wildlife, bridge out, over grown, no dogs,",4.6
1016,Dunsmore Canyon and Le Mesanger Loop Trails,MODERATE,101,"Deukmejian Wilderness Park
",3.3 miles,"1,036 feet",Loop,"dogs on leash, hiking, nature trips, walking, bird watching, views, bugs,",4
1017,Keys View Loop to Inspiration Point Trail,EASY,47,"Joshua Tree National Park
",1.2 miles,501 feet,Loop,"kid friendly, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife, rocky, scramble, no dogs,",4.3
1018,Chalk Mountain Via Skyline to the Sea and Westridge Trails,HARD,28,"Theodore J. Hoover Natural Preserve
",16.2 miles,"3,369 feet",Loop,"hiking, nature trips, trail running, bird watching, beach, forest, river, views, waterfall, blowdown, bridge out, muddy, rocky, no dogs,",4.4
1019,Lone Pine Lake Trail to John Muir Trail,HARD,23,"Inyo National Forest
",13.4 miles,"5,462 feet",Out & Back,"backpacking, camping, hiking, nature trips, bird watching, lake, views, waterfall, wild flowers, wildlife, rocky, snow, no dogs,",4.5
1020,Rockefeller Loop Trail,EASY,77,"Humboldt Redwoods State Park
",0.7 miles,55 feet,Loop,"kid friendly, hiking, nature trips, walking, forest, river, views, wild flowers, wildlife, no dogs,",4.7
1021,Hopalong Cassidy Trail,MODERATE,72,"Santa Rosa and San Jacinto Mountains National Monument
",7.4 miles,"1,725 feet",Loop,"hiking, mountain biking, nature trips, trail running, bird watching, views, wild flowers, wildlife, rocky, scramble, no dogs,",4.4
1022,Johnny Cash Trail,EASY,110,"Folsom Lake State Recreation Area
",6.3 miles,839 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, road biking, trail running, walking, paved, river, views, wildlife, historic site,",3.8
1023,Maisie's Peak and Nob Hill Extended Loop,MODERATE,68,"Fremont Older Open Space Preserve
",5.7 miles,"1,056 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, views,",4.3
1024,Sky Camp Trail,MODERATE,62,"Point Reyes National Seashore
",9.4 miles,"1,774 feet",Loop,"camping, hiking, nature trips, trail running, bird watching, forest, views, no dogs,",4.6
1025,Fiesta Island Trail,EASY,100,"Mission Bay Park
",4.1 miles,32 feet,Loop,"dog friendly, wheelchair friendly, kid friendly, stroller friendly, hiking, road biking, trail running, walking, beach, paved, views,",3.9
1026,Dragoon Gulch Trail,EASY,98,"Sonora, California
",2.2 miles,272 feet,Loop,"dog friendly, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.3
1027,Wildwood Canyon Trail,MODERATE,122,"Wildwood Canyon State Park
",2.3 miles,918 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.4
1028,Tennesse Valley to Muir Beach and Fox Trail,HARD,52,"Golden Gate National Recreation Area
",6.7 miles,"1,669 feet",Loop,"hiking, nature trips, bird watching, beach, views, wild flowers, no shade, no dogs,",4.8
1029,Deep Creek Hot Springs to Bradford Ridge Path,HARD,72,"San Bernardino National Forest
",4.6 miles,"1,322 feet",Out & Back,"dog friendly, hiking, nature trips, bird watching, beach, hot springs, river, views, waterfall, wild flowers, wildlife, bugs, rocky, scramble, washed out,",4.3
1030,Garnet Peak via PCT,MODERATE,74,"Cleveland National Forest
",4.0 miles,688 feet,Out & Back,"hiking, nature trips, walking, bird watching, views, wild flowers,",4.8
1031,Clara Burgess Trail to Murray Hill,MODERATE,85,"Santa Rosa and San Jacinto Mountains National Monument
",7.1 miles,"2,076 feet",Out & Back,"hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, no dogs,",4.6
1032,Otay River Valley Trail,EASY,117,"Otay Valley Regional Park
",8.0 miles,301 feet,Out & Back,"dog friendly, kid friendly, hiking, mountain biking, trail running, walking, beach, river, wild flowers, bugs, rocky,",3.9
1033,"Ridge Trail to Goat Rock Overlook, Emily Smith Observation Point, and Saratoga Gap Trail",MODERATE,52,"Castle Rock State Park
",3.7 miles,816 feet,Loop,"hiking, nature trips, rock climbing, trail running, walking, forest, views, no dogs,",4.6
1034,Nimitz Way Trail to Wildcat Creek Trail Loop,MODERATE,84,"Tilden Regional Park
",8.4 miles,984 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, partially paved, views, no dogs,",4.1
1035,El Capitan Loop,HARD,41,"Yosemite National Park
",21.5 miles,"5,213 feet",Loop,"backpacking, hiking, forest, river, views, waterfall, wildlife, muddy, rocky, scramble, snow,",5
1036,Ney Springs & Faery Falls,EASY,83,"Shasta-Trinity National Forest
",1.3 miles,255 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, walking, bird watching, hot springs, river, views, waterfall, wildlife, muddy,",4.1
1037,Pictograph Trail,EASY,49,"Anza-Borrego Desert State Park
",2.6 miles,423 feet,Out & Back,"kid friendly, camping, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife, rocky, scramble, no dogs,",4.2
1038,Skyline Divide OHV Trail,MODERATE,62,"San Bernardino National Forest
",11.6 miles,"1,532 feet",Out & Back,"dog friendly, hiking, mountain biking, off road driving,",4.5
1039,Thunder Mountain Loop Trail,MODERATE,65,"El Dorado National Forest
",12.0 miles,"2,552 feet",Loop,"dog friendly, camping, hiking, trail running, forest, lake, views, wild flowers, wildlife, scramble, snow,",4.6
1040,Berryessa Peak Trail,HARD,50,"Berryessa Snow Mountain National Monument
",14.7 miles,"3,507 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, river, views, waterfall, wild flowers, wildlife, muddy, over grown, rocky,",4.1
1041,Rose Bowl Loop Trail,EASY,71,"Brookside Park
",3.1 miles,118 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, road biking, trail running, walking, bird watching, partially paved, views,",4.3
1042,Bolinas Ridge Trail,MODERATE,80,"Golden Gate National Recreation Area
",11.0 miles,"1,824 feet",Point to Point,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, beach, forest, views, wild flowers, wildlife,",4.2
